Garage Finish,Screen Porch,Enclosed Porch,Total Bsmt SF,Sale Type,Land Contour,Lot Area,BsmtFin SF 2,Overall Cond,Functional,Exter Qual,Foundation,Sale Condition,Year Built,Mas Vnr Area,SalePrice,Pool Area,Neighborhood,Street,Kitchen Qual,Bsmt Cond,BsmtFin Type 2,Fireplaces,Paved Drive,Bedroom AbvGr,Mas Vnr Type,Exterior 2nd,Kitchen AbvGr,Low Qual Fin SF,House Style,MS Zoning,Garage Area,Roof Style,Bsmt Unf SF,Electrical,TotRms AbvGrd,Garage Yr Blt,Roof Matl,Condition 1,Garage Qual,BsmtFin SF 1,2nd Flr SF,Yr Sold,Central Air,Condition 2,Bsmt Exposure,Year Remod/Add,Gr Liv Area,Open Porch SF,MS SubClass,Heating QC,BsmtFin Type 1,Exter Cond,3Ssn Porch,Garage Cond,Lot Config,Land Slope,Misc Val,Lot Frontage,Bsmt Qual,Garage Cars,Wood Deck SF,Full Bath,Garage Type,Half Bath,Bldg Type,Lot Shape,1st Flr SF,Exterior 1st,Overall Qual,Mo Sold,Bsmt Full Bath,Heating
RFn,0,0,1090.0,WD ,Lvl,10400,0.0,5,Typ,TA,CBlock,Family,1976,189.0,152000,0,NWAmes,Pave,TA,TA,Unf,1,Y,3,BrkFace,HdBoard,1,0,1Story,RL,479.0,Gable,1090.0,SBrkr,6,1976.0,CompShg,Norm,TA,0.0,0,2009,Y,Norm,No,1976,1370,0,20,TA,Unf,TA,0,TA,Inside,Gtl,0,80.0,Gd,2.0,0,2,Attchd,0,1Fam,Reg,1370,HdBoard,7,6,0.0,GasA
Fin,225,0,1013.0,WD ,Low,28698,764.0,5,Min2,TA,PConc,Abnorml,1967,0.0,185000,0,ClearCr,Pave,TA,Gd,ALQ,0,Y,3,None,Plywood,1,0,2Story,RL,538.0,Flat,0.0,SBrkr,7,1967.0,Tar&Grv,Norm,TA,249.0,966,2009,Y,Norm,Gd,1967,2126,0,60,TA,LwQ,TA,0,TA,CulDSac,Sev,0,69.2075858534085,TA,2.0,486,2,Attchd,1,1Fam,IR2,1160,Plywood,5,6,0.0,GasA
Unf,0,0,0.0,WD ,Lvl,9842,0.0,5,Typ,TA,Slab,Normal,1962,0.0,101800,0,NAmes,Pave,TA,TA,Unf,0,Y,2,None,HdBoard,2,0,1Story,RL,462.0,Gable,0.0,SBrkr,6,1962.0,CompShg,Norm,TA,0.0,0,2007,Y,Norm,No,1962,1224,0,90,TA,Unf,TA,0,TA,FR2,Gtl,0,70.0,TA,2.0,0,2,CarPort,0,Duplex,Reg,1224,HdBoard,4,3,0.0,GasA
Unf,0,0,0.0,WD ,Lvl,7200,0.0,5,Typ,TA,Slab,Normal,1949,0.0,90000,0,NAmes,Pave,TA,TA,Unf,0,Y,2,None,Stone,2,0,1Story,RL,420.0,Gable,0.0,FuseF,6,1956.0,CompShg,Norm,TA,0.0,0,2009,N,Norm,No,1950,1040,0,90,Fa,Unf,TA,0,TA,Inside,Gtl,0,60.0,TA,2.0,0,2,Detchd,0,Duplex,Reg,1040,BrkFace,4,6,0.0,Wall
Unf,0,148,600.0,WD ,Lvl,7627,0.0,6,Typ,Fa,BrkTil,Normal,1920,0.0,94550,0,OldTown,Pave,Fa,Po,Unf,0,N,4,None,AsbShng,2,0,2Story,RM,0.0,Gable,600.0,SBrkr,8,1920.0,CompShg,Artery,TA,0.0,600,2009,N,Norm,No,1950,1701,0,190,Gd,Unf,TA,0,TA,Corner,Gtl,0,63.0,Fa,0.0,0,2,Attchd,0,2fmCon,Reg,1101,AsbShng,4,10,0.0,GasA
Unf,192,0,1151.0,WD ,Lvl,10029,0.0,5,Typ,Gd,PConc,Normal,1988,268.0,211000,0,ClearCr,Pave,TA,TA,Unf,1,Y,4,BrkFace,Plywood,1,0,2Story,RL,521.0,Gable,320.0,SBrkr,8,1988.0,CompShg,Norm,TA,831.0,896,2007,Y,Norm,No,1989,2060,228,60,TA,GLQ,TA,0,TA,Corner,Gtl,0,97.0,Gd,2.0,0,2,Attchd,1,1Fam,IR1,1164,Plywood,6,9,0.0,GasA
Fin,0,0,1044.0,WD ,Lvl,9660,0.0,5,Typ,Gd,PConc,Normal,1998,242.0,286000,0,NoRidge,Pave,Gd,TA,Unf,1,Y,3,BrkFace,VinylSd,1,0,2Story,RL,885.0,Gable,253.0,SBrkr,7,1998.0,CompShg,Norm,TA,791.0,897,2006,Y,Norm,No,1998,1976,31,60,Ex,GLQ,TA,0,TA,Inside,Gtl,0,84.0,Gd,3.0,210,2,Attchd,1,1Fam,IR1,1079,VinylSd,8,2,1.0,GasA
Unf,0,0,1367.0,WD ,Lvl,11310,0.0,5,Typ,TA,CBlock,Normal,1954,0.0,140000,0,NAmes,Pave,TA,TA,Unf,1,Y,2,None,BrkFace,1,0,1Story,RL,451.0,Hip,1367.0,SBrkr,5,1954.0,CompShg,Norm,TA,0.0,0,2006,Y,Norm,No,1954,1375,30,20,Ex,Unf,TA,0,TA,Inside,Gtl,0,75.0,TA,2.0,0,1,Attchd,0,1Fam,Reg,1375,Wd Sdng,6,6,0.0,GasA
Unf,0,0,1021.0,WD ,Lvl,18450,723.0,5,Sev,TA,CBlock,Abnorml,1965,113.0,129000,0,NAmes,Pave,TA,TA,Rec,1,Y,3,BrkCmn,Plywood,1,0,2Story,RL,596.0,Flat,111.0,SBrkr,7,1965.0,Tar&Grv,Norm,TA,187.0,915,2007,Y,Norm,No,1979,2380,265,60,TA,LwQ,Gd,0,TA,Inside,Gtl,0,69.2075858534085,Gd,2.0,0,2,CarPort,1,1Fam,IR1,1465,Plywood,6,8,0.0,GasA
RFn,195,0,1578.0,WD ,Lvl,10200,0.0,5,Typ,Gd,PConc,Normal,2007,180.0,293200,0,CollgCr,Pave,Gd,TA,Unf,1,Y,3,BrkFace,VinylSd,1,0,1Story,RL,810.0,Gable,100.0,SBrkr,7,2007.0,CompShg,Norm,TA,1478.0,0,2009,Y,Norm,Av,2007,1602,48,20,Ex,GLQ,TA,0,TA,Inside,Gtl,0,85.0,Gd,3.0,0,2,Attchd,0,1Fam,Reg,1602,VinylSd,8,1,1.0,GasA
Unf,0,0,974.0,Oth,Lvl,10712,0.0,5,Typ,TA,PConc,Abnorml,1991,0.0,93500,0,Mitchel,Pave,TA,TA,Unf,0,Y,3,None,HdBoard,1,0,1Story,RL,0.0,Gable,762.0,SBrkr,5,1991.0,CompShg,Norm,TA,212.0,0,2007,Y,Norm,Mn,1992,974,28,20,TA,BLQ,TA,0,TA,Inside,Gtl,0,63.0,Gd,0.0,0,1,Attchd,0,1Fam,Reg,974,HdBoard,5,9,0.0,GasA
Fin,0,169,279.0,WD ,HLS,18044,0.0,5,Typ,Gd,CBlock,Normal,1986,0.0,315000,228,Crawfor,Pave,Gd,TA,Unf,1,Y,2,None,Plywood,1,0,1Story,RL,691.0,Gable,279.0,SBrkr,6,1986.0,CompShg,Norm,Gd,0.0,0,2007,Y,Norm,No,1986,2726,64,20,Gd,Unf,TA,0,Gd,CulDSac,Gtl,0,70.0,Gd,2.0,216,2,Attchd,1,1Fam,IR1,2726,WdShing,8,8,0.0,GasA
Fin,0,0,384.0,WD ,Lvl,11084,0.0,5,Typ,Gd,PConc,Family,2004,0.0,175000,0,Gilbert,Pave,Gd,TA,Unf,1,Y,3,None,VinylSd,1,0,SLvl,RL,400.0,Gable,192.0,SBrkr,8,2004.0,CompShg,Norm,TA,192.0,630,2007,Y,Norm,No,2004,1374,0,80,Ex,GLQ,TA,0,TA,Corner,Gtl,0,87.0,Gd,2.0,100,2,BuiltIn,1,1Fam,IR1,744,VinylSd,7,6,1.0,GasA
RFn,0,0,1450.0,New,Lvl,7328,0.0,5,Typ,Gd,PConc,Partial,2008,140.0,224243,0,SawyerW,Pave,Gd,TA,Unf,0,Y,2,BrkFace,VinylSd,1,0,1Story,RL,788.0,Gable,1450.0,SBrkr,6,2008.0,CompShg,Norm,TA,0.0,0,2009,Y,Norm,No,2009,1450,93,20,Ex,Unf,TA,0,TA,Inside,Gtl,0,61.0,Gd,3.0,0,2,Attchd,0,1Fam,Reg,1450,VinylSd,7,2,0.0,GasA
